Relevamiento disposición final Residuos Generales 2016;;;;;;Aperturas 2017;;;;;Formato;Toneladas;;;;
;;;;;;Cierres 2017/2018;;;;;Express;0;;;;
;;;;;Estimado;;;;;;Hiper;13 384;;;;
;;;;;;;;;;;Market;6 749;;;;
;;;;;;;;;;;Maxi;924;;;;
;;;;;;;;;;;Total general;21 057;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Local;Tienda;Formato;Región;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;Total
301;301-Proxi Av. Pueyrredon 2464;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
302;302-Proxi Esmeralda 823;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
303;303-Proxi Talcahuano 841;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
304;304-Proxi Suipacha 726;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
305;305-Proxi Maipu 556;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
306;306-Proxi Fray Oro 2709;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
307;307-Proxi Las Heras 1936;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
308;308-Proxi Maipu 171;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
309;309-Proxi Campana 3050;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
310;310-Proxi Chivilcoy 3840;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
311;311-Proxi Monroe 2771;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
312;312-Proxi Cerviño 4634;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
313;313-Proxi Montañeses 2267;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
314;314-Proxi Segurola 2344;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
315;315-Proxi Varela 3191;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
316;316-Proxi Ramón Falcón 2402;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
317;317-Proxi Anchorena 1253;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
318;318-Proxi Arroyo 859;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
319;319-Proxi C. Larralde 2718;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
