site;mois;poids
FRA195;5;8,82
FRA197;5;3,306
FRA200;5;6,08
FRA201;5;16,62
FRA202;5;8,274
FRA203;5;4,45
FRA204;5;13,05
FRA205;5;11,194
FRA206;5;3,176
FRA207;5;0,64
FRA208;5;9,485
FRA209;5;1,42
FRA210;5;10,87
FRA211;5;1,537
FRA212;5;3,652
FRA215;5;1,44
FRA217;5;5,5
FRA218;5;2,26
FRA250;5;4,5
FRA251;5;1,81
FRA252;5;4,32
FRA253;5;3,6
FRA254;5;7,02
FRA255;5;5,04
FRA301;5;4,643
FRA302;5;6,02
FRA303;5;0
FRA304;5;4,477
FRA305;5;7,934
FRA307;5;2,76
FRA309;5;0,544
FRA310;5;3,38
FRA311;5;4,309
FRA312;5;13,16
FRA313;5;3,37
FRA314;5;2,02
FRA315;5;6,3
FRA316;5;3,54
FRA317;5;3,638
FRA318;5;5,398
FRA320;5;2,01
FRA321;5;0,72
FRA322;5;2,84
FRA323;5;4,8
FRA324;5;2,4
FRA325;5;3,322
FRA327;5;4,62
FRA328;5;18,557
FRA329;5;2,74
FRA330;5;3,6
FRA332;5;3,408
FRA333;5;3,09
FRA335;5;8,66
FRA336;5;5,69
FRA337;5;6,05
FRA338;5;1,44
FRA339;5;2,16
FRA340;5;5,27
FRA342;5;8,82
FRA344;5;1,47
FRA345;5;2,537
FRA346;5;3,45
FRA347;5;7,108
FRA349;5;3,803
FRA350;5;2,748
FRA351;5;3,7
FRA352;5;11,75
FRA353;5;3,526
FRA354;5;4,62
FRA356;5;1,84
FRA357;5;2,93
FRA358;5;10,38
FRA359;5;3,161
FRA365;5;2,169
FRA366;5;1,8
FRA400;5;1,8
FRA401;5;1,68
FRA402;5;4,552
FRA403;5;2,75
FRA404;5;6,23
FRA406;5;1,08
FRA407;5;1,4
FRA408;5;2,16
FRA001;6;9,9792
FRA002;6;5,579
FRA003;6;3,871
FRA004;6;3,96
FRA005;6;12,182
FRA006;6;9,0882
FRA007;6;8,586
FRA008;6;7,25
FRA009;6;13,479
FRA010;6;6,237
FRA011;6;8,019
FRA012;6;9,37
FRA013;6;8,64
FRA014;6;3,2076
FRA015;6;3,67
FRA016;6;12,809
FRA017;6;8,0109
FRA018;6;1,025
FRA019;6;3,985
FRA020;6;5,647
FRA021;6;8,378
FRA022;6;4,02
FRA023;6;7,237
FRA024;6;6,096
FRA025;6;2,7
FRA026;6;3,77
FRA027;6;3,36
FRA028;6;4,6953
FRA029;6;37,88
FRA030;6;8,781
FRA031;6;7,56
FRA032;6;9,78
FRA033;6;14,4342
FRA034;6;17,512
FRA035;6;16,77
FRA036;6;38,175
FRA037;6;6,5934
FRA038;6;6,193
FRA039;6;5,1678
FRA040;6;0,271
FRA041;6;11,13
FRA042;6;18
FRA043;6;21,61
FRA044;6;15,444
FRA045;6;12,14
FRA046;6;4,6332
FRA047;6;5,35
FRA048;6;3,24
FRA049;6;2,991
FRA050;6;3,36
FRA051;6;8,28
FRA052;6;1,754
FRA053;6;8,4
FRA054;6;12,657
FRA055;6;4,95
FRA056;6;9,89
FRA057;6;9,492
FRA058;6;12,07
FRA059;6;6,525
FRA060;6;11,37
FRA061;6;6,9498
FRA062;6;9,4446
FRA063;6;8,1
FRA064;6;23,305
FRA066;6;5,43
FRA068;6;6,854
FRA069;6;0,6345
FRA070;6;11,423
FRA071;6;8,307
FRA072;6;1,622
FRA073;6;5,071
FRA075;6;6,86
FRA076;6;9,85
FRA078;6;6,23
FRA079;6;2,172
FRA080;6;12,768
FRA082;6;3,6
FRA083;6;3,2076
FRA084;6;3,78
FRA085;6;2,6649
FRA086;6;2,68
FRA087;6;7,8408
FRA088;6;7,412
FRA089;6;4,42
FRA090;6;5,082
FRA091;6;4,348
FRA092;6;10,775
FRA093;6;3,44
FRA095;6;6,5
FRA096;6;2,492
FRA097;6;1,6
FRA098;6;13,032
FRA099;6;6,24
FRA100;6;9,95
FRA102;6;7,14
FRA103;6;3,557
FRA104;6;6,5
FRA105;6;5,836
FRA106;6;8,944
FRA107;6;4,494
FRA108;6;4,438
FRA109;6;5,34
FRA110;6;5,1
FRA111;6;3,74
FRA112;6;5,1678
FRA113;6;2,1384
FRA115;6;32,6
FRA116;6;14,491
FRA117;6;5,865
FRA118;6;11,88
FRA119;6;14,4342
FRA120;6;1,603
FRA121;6;1,221
FRA186;6;0,69
FRA190;6;5,32
FRA195;6;15,84
FRA197;6;3,099
FRA200;6;7,3062
FRA201;6;15,552
FRA202;6;8,247
FRA203;6;2,8512
FRA204;6;15,73
FRA205;6;10,84
FRA206;6;4,497
FRA207;6;0,7614
FRA208;6;11,645
FRA209;6;3,81
FRA210;6;15,32
FRA211;6;1,675
FRA212;6;3,491
FRA215;6;15,12
FRA217;6;6,28
FRA218;6;2,38
FRA250;6;4,49
FRA251;6;1,42
FRA252;6;0,899999997
FRA253;6;3,6
FRA254;6;6,300000005
FRA255;6;5,220000006
FRA301;6;3,519
FRA302;6;4,56
FRA303;6;0,2538
FRA304;6;4,995
FRA305;6;4,592
FRA306;6;0,288
FRA307;6;4,835
FRA309;6;0,327
FRA310;6;4,455
FRA311;6;7,154
FRA312;6;18,83
FRA313;6;2,673
FRA314;6;1,66
FRA315;6;8,1
FRA316;6;3,9204
FRA317;6;4,312
FRA318;6;3,909
FRA320;6;1,96
FRA321;6;1,0692
FRA322;6;3,044
FRA323;6;7,6626
FRA324;6;1,3959
FRA325;6;3,987
FRA327;6;5,5242
FRA328;6;20,428
